,Species,Population 1,Population 2,ave_dist,short_dist,Pop 1 size eDNA,Pop 2 size eDNA,PhiST value,p-value,fdr p-value,bonferroni p-value,sig p-value,sig fdr,sig bon,previous long phist,previous long pvalue,previous long fdr pvalue,previous short phist,previous short pvalue,previous short fdr pvalue,Pop 1 size tissue,Pop 2 size tissue
13,Abudefduf abdominalis,Hawaii,Kauai,490,429,83,44,0.000945956,0.340659341,0.681318681,1,no,no,no,-0.040093387,0.999000999,0.999000999,-0.040093387,0.916083916,0.916083916,11,26
14,Abudefduf abdominalis,Hawaii,Maui,151,46,83,21,-0.01103405,0.739260739,0.75024975,1,no,no,no,-0.017539479,0.648351648,0.999000999,0.011314314,0.588411588,0.81038961,11,19
15,Abudefduf abdominalis,Hawaii,Oahu,329,250,83,70,0.012448041,0,0,0,yes,yes,yes,-0.001726052,0.308691309,0.962037962,0.090630741,0.297702298,0.81038961,11,27
16,Abudefduf abdominalis,Maui,Kauai,353,297,21,44,-0.009088105,0.75024975,0.75024975,1,no,no,no,-0.01585679,0.875124875,0.999000999,-0.002645124,0.675324675,0.81038961,19,26
17,Abudefduf abdominalis,Maui,Oahu,183,107,21,70,-0.004061452,0.509490509,0.75024975,1,no,no,no,-0.013585156,0.693306693,0.999000999,0.019120459,0.433566434,0.81038961,19,27
18,Abudefduf abdominalis,Oahu,Kauai,180,116,70,44,0.008664489,0.116883117,0.350649351,0.701298701,no,no,no,0.009878939,0.320679321,0.962037962,0.00147929,0.041958042,0.251748252,27,26
7,Abudefduf vaigiensis,Hawaii,Kauai,490,429,63,93,0.0476638,0,0,0,yes,yes,yes,-0.012835591,0.529470529,0.653346653,-0.00232348,0.363636364,0.848751249,19,20
8,Abudefduf vaigiensis,Hawaii,Maui,151,46,63,29,-0.004732186,0.537462537,0.537462537,1,no,no,no,-0.000124451,0.420579421,0.653346653,0.02185879,0.25974026,0.848751249,19,17
9,Abudefduf vaigiensis,Hawaii,Oahu,329,250,63,104,0.025538211,0.021978022,0.043956044,0.131868132,yes,yes,no,-0.011644219,0.544455544,0.653346653,-0.02564541,0.705294705,0.848751249,19,16
10,Abudefduf vaigiensis,Maui,Kauai,353,297,29,93,0.019333611,0.090909091,0.136363636,0.545454545,no,no,no,0.008719226,0.310689311,0.653346653,-0.024426835,0.614385614,0.848751249,17,20
11,Abudefduf vaigiensis,Maui,Oahu,183,107,29,104,0.011331394,0.166833167,0.2001998,1,no,no,no,-0.046326087,0.985014985,0.985014985,-0.031608155,0.707292707,0.848751249,17,16
12,Abudefduf vaigiensis,Oahu,Kauai,180,116,104,93,0.025426924,0.010989011,0.032967033,0.065934066,yes,yes,no,-0.002758468,0.458541459,0.653346653,-0.050164619,0.929070929,0.929070929,16,20
19,Acanthurus nigrofuscus,Hawaii,Kauai,490,429,367,131,-0.001040009,0.507492507,0.507492507,1,no,no,no,-0.004890646,0.465534466,0.861638362,-0.018428934,0.738261738,0.975024975,33,26
20,Acanthurus nigrofuscus,Hawaii,Maui,151,46,367,183,0.000128255,0.325674326,0.488511489,1,no,no,no,0.002458022,0.35964036,0.861638362,-0.009151518,0.521478521,0.975024975,33,36
21,Acanthurus nigrofuscus,Hawaii,Oahu,329,250,367,211,0.004492308,0.075924076,0.227772228,0.455544456,no,no,no,-0.00323309,0.440559441,0.861638362,-0.00777383,0.541458541,0.975024975,33,39
22,Acanthurus nigrofuscus,Maui,Kauai,353,297,183,131,0.002062733,0.227772228,0.455544456,1,no,no,no,-0.019286179,0.883116883,0.984015984,-0.02022725,0.824175824,0.975024975,36,26
23,Acanthurus nigrofuscus,Maui,Oahu,183,107,183,211,0.004924411,0.057942058,0.227772228,0.347652348,no,no,no,-0.007173524,0.574425574,0.861638362,-0.001707554,0.437562438,0.975024975,36,39
24,Acanthurus nigrofuscus,Oahu,Kauai,180,116,211,131,-0.000904168,0.475524476,0.507492507,1,no,no,no,-0.024032697,0.984015984,0.984015984,-0.026762529,0.975024975,0.975024975,39,26
45,Acanthurus nigroris,Hawaii,Kauai,490,429,5,9,-0.077844311,0.999000999,0.999000999,1,no,no,no,-0.000803253,0.31968032,0.47952048,0.001923475,0.101898102,0.305694306,32,34
46,Acanthurus nigroris,Hawaii,Maui,151,46,5,4,0.0625,0.426573427,0.636563437,1,no,no,no,,,,,,,,
47,Acanthurus nigroris,Hawaii,Oahu,329,250,5,15,0.040793826,0.428571429,0.636563437,1,no,no,no,-0.021515398,0.963036963,0.963036963,-0.003138294,0.999000999,0.999000999,32,29
48,Acanthurus nigroris,Maui,Kauai,353,297,4,9,0.065963061,0.53046953,0.636563437,1,no,no,no,,,,,,,,
49,Acanthurus nigroris,Maui,Oahu,183,107,4,15,0.087464998,0.198801199,0.596403596,1,no,no,no,,,,,,,,
50,Acanthurus nigroris,Oahu,Kauai,180,116,15,9,0.102683563,0.124875125,0.596403596,0.749250749,no,no,no,0.003975931,0.230769231,0.47952048,0,0.999000999,0.999000999,29,34
111,Caranx ignobilis,Hawaii,Kauai,490,429,14,9,-0.040276112,0.614385614,0.614385614,0.614385614,no,no,no,0.0001,1,1,,,,18,3
112,Caranx melampygus,Hawaii,Kauai,490,429,34,68,0.001499282,0.372627373,0.558941059,1,no,no,no,0.0001,1,1,,,,26,6
113,Caranx melampygus,Hawaii,Maui,151,46,34,58,0.021074341,0.065934066,0.383616384,0.395604396,no,no,no,0.0001,1,1,,,,26,4
114,Caranx melampygus,Hawaii,Oahu,329,250,34,47,-0.00462717,0.559440559,0.563436563,1,no,no,no,0.0001,1,1,,,,26,21
115,Caranx melampygus,Maui,Kauai,353,297,58,68,0.010613783,0.127872128,0.383616384,0.767232767,no,no,no,0.0001,1,1,,,,4,6
116,Caranx melampygus,Maui,Oahu,183,107,58,47,0.007923642,0.203796204,0.407592408,1,no,no,no,0.0001,1,1,,,,4,21
117,Caranx melampygus,Oahu,Kauai,180,116,47,68,-0.003721185,0.563436563,0.563436563,1,no,no,no,0.0001,1,1,,,,21,6
124,Cephalopholis argus,Hawaii,Kauai,490,429,5,3,-0.132075472,0.999000999,0.999000999,1,no,no,no,0.004814051,0.288711289,0.577422577,-0.000134636,0.397602398,0.795204795,51,23
125,Cephalopholis argus,Hawaii,Maui,151,46,5,14,-0.156289708,0.999000999,0.999000999,1,no,no,no,0.025905849,0.078921079,0.236763237,0.035411956,0.098901099,0.296703297,51,53
