Species,Population 1,Population 2,ave_dist,short_dist,PhiST value,Pop 1 size eDNA,Pop 2 size eDNA,p-value,fdr p-value,bonferroni p-value,sig p-value,sig fdr,sig bon,previous long phist,previous long pvalue,previous long fdr pvalue,previous short phist,previous short pvalue,previous short fdr pvalue,Pop 1 size tissue,Pop 2 size tissue
Abudefduf abdominalis,Hawaii,Kauai,490,429,0.010980541,4616,2801,0,0,0,yes,yes,yes,-0.040093387,0.999000999,0.999000999,-0.040093387,0.916083916,0.916083916,11,26
Abudefduf abdominalis,Hawaii,Maui,151,46,0.008038126,4616,721,0,0,0,yes,yes,yes,-0.017539479,0.648351648,0.999000999,0.011314314,0.588411588,0.81038961,11,19
Abudefduf abdominalis,Hawaii,Oahu,329,250,0.02118209,4616,3917,0,0,0,yes,yes,yes,-0.001726052,0.308691309,0.962037962,0.090630741,0.297702298,0.81038961,11,27
Abudefduf abdominalis,Maui,Kauai,353,297,0.011004028,721,2801,0,0,0,yes,yes,yes,-0.01585679,0.875124875,0.999000999,-0.002645124,0.675324675,0.81038961,19,26
Abudefduf abdominalis,Maui,Oahu,183,107,0.016562093,721,3917,0,0,0,yes,yes,yes,-0.013585156,0.693306693,0.999000999,0.019120459,0.433566434,0.81038961,19,27
Abudefduf abdominalis,Oahu,Kauai,180,116,0.021174845,3917,2801,0,0,0,yes,yes,yes,0.009878939,0.320679321,0.962037962,0.00147929,0.041958042,0.251748252,27,26
Abudefduf vaigiensis,Hawaii,Kauai,490,429,0.065576352,1446,2967,0,0,0,yes,yes,yes,-0.012835591,0.529470529,0.653346653,-0.00232348,0.363636364,0.848751249,19,20
Abudefduf vaigiensis,Hawaii,Maui,151,46,0.01470986,1446,556,0,0,0,yes,yes,yes,-0.000124451,0.420579421,0.653346653,0.02185879,0.25974026,0.848751249,19,17
Abudefduf vaigiensis,Hawaii,Oahu,329,250,0.020398622,1446,4847,0,0,0,yes,yes,yes,-0.011644219,0.544455544,0.653346653,-0.02564541,0.705294705,0.848751249,19,16
Abudefduf vaigiensis,Maui,Kauai,353,297,0.051643978,556,2967,0,0,0,yes,yes,yes,0.008719226,0.310689311,0.653346653,-0.024426835,0.614385614,0.848751249,17,20
Abudefduf vaigiensis,Maui,Oahu,183,107,0.01126029,556,4847,0,0,0,yes,yes,yes,-0.046326087,0.985014985,0.985014985,-0.031608155,0.707292707,0.848751249,17,16
Abudefduf vaigiensis,Oahu,Kauai,180,116,0.064814023,4847,2967,0,0,0,yes,yes,yes,-0.002758468,0.458541459,0.653346653,-0.050164619,0.929070929,0.929070929,16,20
Acanthurus nigrofuscus,Hawaii,Kauai,490,429,0.001949283,5676,1248,0.004995005,0.004995005,0.02997003,yes,yes,yes,-0.004890646,0.465534466,0.861638362,-0.018428934,0.738261738,0.975024975,33,26
Acanthurus nigrofuscus,Hawaii,Maui,151,46,0.008110676,5676,2368,0,0,0,yes,yes,yes,0.002458022,0.35964036,0.861638362,-0.009151518,0.521478521,0.975024975,33,36
Acanthurus nigrofuscus,Hawaii,Oahu,329,250,0.006642637,5676,2227,0,0,0,yes,yes,yes,-0.00323309,0.440559441,0.861638362,-0.00777383,0.541458541,0.975024975,33,39
Acanthurus nigrofuscus,Maui,Kauai,353,297,0.012436274,2368,1248,0,0,0,yes,yes,yes,-0.019286179,0.883116883,0.984015984,-0.02022725,0.824175824,0.975024975,36,26
Acanthurus nigrofuscus,Maui,Oahu,183,107,0.016205712,2368,2227,0,0,0,yes,yes,yes,-0.007173524,0.574425574,0.861638362,-0.001707554,0.437562438,0.975024975,36,39
Acanthurus nigrofuscus,Oahu,Kauai,180,116,0.008347904,2227,1248,0,0,0,yes,yes,yes,-0.024032697,0.984015984,0.984015984,-0.026762529,0.975024975,0.975024975,39,26
Acanthurus nigroris,Hawaii,Kauai,490,429,0.024095557,149,351,0.015984016,0.015984016,0.095904096,yes,yes,no,-0.000803253,0.31968032,0.47952048,0.001923475,0.101898102,0.305694306,32,34
Acanthurus nigroris,Hawaii,Maui,151,46,0.079101591,149,199,0,0,0,yes,yes,yes,,,,,,,,
Acanthurus nigroris,Hawaii,Oahu,329,250,0.78469481,149,6291,0,0,0,yes,yes,yes,-0.021515398,0.963036963,0.963036963,-0.003138294,0.999000999,0.999000999,32,29
Acanthurus nigroris,Maui,Kauai,353,297,0.084121909,199,351,0,0,0,yes,yes,yes,,,,,,,,
Acanthurus nigroris,Maui,Oahu,183,107,0.783820396,199,6291,0,0,0,yes,yes,yes,,,,,,,,
