Scientific_Name,HawaiianName,Population,n_long,H_long,h_long,π_long,tajima_long,fs_long,R2_long,r_long,n_short,H_short,h_short,π_short,tajima_short,fs_short,R2_short,r_short,n_pa,H_pa,h_pa,π_pa,tajima_pa,fs_pa,R2_pa,r_pa,n_scaled,H_scaled,h_scaled,π_scaled,tajima_scaled,fs_scaled,R2_scaled,r_scaled,n_raw,H_raw,h_raw,π_raw,tajima_raw,fs_raw,R2_raw,r_raw
Acanthurus nigroris,maiko,all,95,12,0.492,0.001,-1.859,-10.126,0.032,0.107,95,4,0.063,0,-1.616,-5.608,0.058,0.771,16,4,0.35,0.002,-1.853,-3.486,0.104,0.161,29,4,0.362,0.002,-1.181,-3.035,0.077,0.18,6990,5,0.332,0.0015,-0.236,,0.043,0.216
Acanthurus nigroris,maiko,Hawai'i Island,32,10,0.661,0.001,-1.929,-7.018,0.055,0.111,32,4,0.181,0.001,-1.73,-3.49,0.097,0.442,4,1,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,149,1,NA,NA,NA,,NA,
Acanthurus nigroris,maiko,O'ahu,29,5,0.539,0.001,-0.937,-1.807,0.09,0.124,29,1,NA,NA,NA,NA,NA,NA,8,3,0.464,0.002,-1.31,-0.999,0.217,0.167,15,3,0.514,0.002,-0.268,-0.248,0.163,0.25,6291,3,0.212,9.00E-04,0.013,,0.054,0.379
Acanthurus nigroris,maiko,Kaua'i,34,3,0.266,0,-0.694,-0.725,0.106,0.3,34,1,NA,NA,NA,NA,NA,NA,4,2,0.5,0.002,-0.612,0.172,0.433,0.25,9,2,0.222,0.001,-1.088,-0.182,0.314,0.193,351,2,0.077,3.00E-04,-0.47,,0.038,0.456
Acanthurus nigrofuscus ,māiʻiʻi,all,134,18,0.725,0.002,-1.492,-8.935,0.042,0.0495,134,10,0.491,0.003,-0.875,-4.901,0.057,0.109,482,78,0.752,0.006,-2.377,-32.694,0.011,0.0499,892,78,0.682,0.005,-2.309,-32.433,0.01,0.0533,11519,79,0.553,0.0041,-2.042,,0.008,0.076
Acanthurus nigrofuscus ,māiʻiʻi,Hawai'i Island,33,8,0.65,0.002,-1.166,-2.041,0.073,0.0741,33,5,0.377,0.003,-1.001,-1.222,0.08,0.261,173,34,0.783,0.007,-2.058,-32.112,0.024,0.0534,367,34,0.703,0.006,-1.963,-29.712,0.021,0.0591,5676,34,0.537,0.004,-1.672,,0.015,0.0895
Acanthurus nigrofuscus ,māiʻiʻi,Maui,36,9,0.767,0.003,-1.109,-1.696,0.076,0.0233,36,5,0.568,0.004,-0.579,-0.607,0.094,0.104,97,21,0.753,0.006,-1.861,-16.834,0.033,0.0542,183,21,0.687,0.006,-1.676,-14.548,0.032,0.0516,2368,21,0.574,0.0046,-1.209,,0.027,0.0811
Acanthurus nigrofuscus ,māiʻiʻi,O'ahu,39,9,0.707,0.002,-1.685,-3.439,0.071,0.0628,39,6,0.474,0.003,-1.51,-2.824,0.07,0.13,126,29,0.738,0.006,-2.154,-29.632,0.023,0.0368,211,29,0.659,0.005,-2.121,-29.634,0.02,0.043,2227,30,0.569,0.0042,-1.723,,0.017,0.0527
Acanthurus nigrofuscus ,māiʻiʻi,Kaua'i,26,9,0.809,0.002,-1.648,-3.458,0.091,0.117,26,6,0.56,0.004,-1.634,-2.331,0.095,0.132,86,18,0.715,0.005,-1.819,-12.408,0.036,0.066,131,18,0.643,0.005,-1.794,-12.258,0.032,0.068,1248,18,0.531,0.0036,-1.37,,0.025,0.0887
Ctenochaetus strigosus ,kole,all,32,6,0.435,0.001,-1.729,-2.103,0.064,0.151,32,4,0.337,0.002,-1.177,-1.025,0.073,0.271,7,4,0.81,0.005,-0.302,-1.217,0.178,0.231,13,4,0.731,0.004,0.025,-0.57,0.163,0.191,147,4,0.679,0.0039,1.82,,0.151,0.671
