Scientific_Name,HawaiianName,Population,n_long,H_long,h_long,π_long,n_short,H_short,h_short,π_short,n_ee025_pa,H_ee025_pa,h_ee025_pa,π_ee025_pa,n_ee05_pa,H_ee05_pa,h_ee05_pa,π_ee05_pa,n_ee025_scaled,H_ee025_scaled,h_ee025_scaled,π_ee025_scaled,n_ee05_scaled,H_ee05_scaled,h_ee05_scaled,π_ee05_scaled,n_ee025_raw,H_ee025_raw,h_ee025_raw,π_ee025_raw,n_ee05_raw,H_ee05_raw,h_ee05_raw,π_ee05_raw
Acanthurus nigroris,maiko,all,95,12,0.492,0.001,95,4,0.063,0,16,4,0.35,0.002,16,4,0.35,0.002,29,4,0.362,0.002,30,4,0.352,0.002,6791,5,0.332,0.0015,6901,5,0.33,0.0015
Acanthurus nigroris,maiko,Hawai'i Island,32,10,0.661,0.001,32,4,0.181,0.001,4,1,0,0,4,1,0,0,5,1,0,0,7,1,0,0,149,1,0,0,146,1,0,0
Acanthurus nigroris,maiko,O'ahu,29,5,0.539,0.001,29,1,0,0,8,3,0.464,0.002,8,3,0.464,0.002,15,3,0.514,0.002,15,3,0.514,0.002,6291,3,0.212,9.00E-04,6404,3,0.211,9.00E-04
Acanthurus nigroris,maiko,Kaua'i,34,3,0.266,0,34,1,0,0,4,2,0.5,0.002,4,2,0.5,0.002,9,2,0.222,0.001,8,2,0.25,0.001,351,2,0.077,3.00E-04,351,2,0.103,4.00E-04
Acanthurus nigrofuscus ,māiʻiʻi,all,134,18,0.725,0.002,134,10,0.491,0.003,482,78,0.752,0.006,482,76,0.75,0.006,892,78,0.682,0.005,893,76,0.678,0.005,11519,79,0.553,0.0041,11856,80,0.553,0.0041
Acanthurus nigrofuscus ,māiʻiʻi,Hawai'i Island,33,8,0.65,0.002,33,5,0.377,0.003,173,34,0.783,0.007,172,32,0.776,0.006,367,34,0.703,0.006,369,32,0.698,0.005,5676,34,0.537,0.004,5841,34,0.537,0.0039
Acanthurus nigrofuscus ,māiʻiʻi,Maui,36,9,0.767,0.003,36,5,0.568,0.004,97,21,0.753,0.006,98,22,0.758,0.006,183,21,0.687,0.006,182,22,0.684,0.006,2368,21,0.574,0.0046,2440,22,0.575,0.0047
Acanthurus nigrofuscus ,māiʻiʻi,O'ahu,39,9,0.707,0.002,39,6,0.474,0.003,126,29,0.738,0.006,127,30,0.743,0.006,211,29,0.659,0.005,212,30,0.662,0.005,2227,30,0.569,0.0042,2296,31,0.569,0.0042
Acanthurus nigrofuscus ,māiʻiʻi,Kaua'i,26,9,0.809,0.002,26,6,0.56,0.004,86,18,0.715,0.005,85,16,0.704,0.005,131,18,0.643,0.005,130,16,0.627,0.004,1248,18,0.531,0.0036,1279,17,0.532,0.0035
Ctenochaetus strigosus ,kole,all,32,6,0.435,0.001,32,4,0.337,0.002,7,4,0.81,0.005,7,4,0.81,0.005,13,4,0.731,0.004,13,4,0.679,0.004,147,4,0.679,0.0039,166,4,0.664,0.0037
Ctenochaetus strigosus ,kole,Kona,32,6,0.435,0.001,32,4,0.337,0.002,7,4,0.81,0.005,7,4,0.81,0.005,13,4,0.731,0.004,13,4,0.679,0.004,147,4,0.679,0.0039,166,4,0.664,0.0037
Zebrasoma flavescens ,lauiʻīpala,all,212,12,0.741,0.003,212,6,0.59,0.005,130,17,0.69,0.005,127,15,0.683,0.005,241,17,0.597,0.004,236,15,0.591,0.004,11544,17,0.415,0.003,11786,17,0.419,0.003
Zebrasoma flavescens ,lauiʻīpala,Hilo,42,5,0.692,0.003,42,4,0.604,0.005,13,5,0.628,0.004,12,4,0.561,0.004,16,5,0.6,0.004,15,4,0.543,0.004,252,5,0.448,0.0035,261,5,0.462,0.0036
Zebrasoma flavescens ,lauiʻīpala,Kona,54,9,0.821,0.004,54,5,0.667,0.006,77,10,0.734,0.006,76,10,0.736,0.006,155,10,0.65,0.005,152,10,0.652,0.005,7751,10,0.485,0.0035,7893,10,0.49,0.0036
Zebrasoma flavescens ,lauiʻīpala,Maui,39,6,0.764,0.003,39,3,0.561,0.005,26,4,0.505,0.004,26,4,0.505,0.004,56,4,0.372,0.003,56,4,0.372,0.003,3418,4,0.217,0.0015,3507,4,0.216,0.0015
Zebrasoma flavescens ,lauiʻīpala,O'ahu,35,4,0.699,0.003,35,3,0.534,0.004,6,3,0.6,0.003,5,2,0.4,0.002,6,3,0.6,0.003,5,2,0.4,0.002,49,3,0.192,8.00E-04,50,3,0.189,8.00E-04
Zebrasoma flavescens ,lauiʻīpala,Kaua'i,42,4,0.711,0.003,42,3,0.585,0.005,8,2,0.429,0.004,8,2,0.429,0.004,8,2,0.429,0.004,8,2,0.429,0.004,74,2,0.053,5.00E-04,75,2,0.053,4.00E-04
Caranx melampygus ,ʻōmilu,all,57,12,0.695,0.002,NA,NA,NA,NA,112,23,0.463,0.003,110,21,0.443,0.003,207,23,0.399,0.003,206,21,0.386,0.002,12010,21,0.298,0.0018,12320,21,0.299,0.0018
Caranx melampygus ,ʻōmilu,Hawai'i Island,26,6,0.689,0.002,NA,NA,NA,NA,24,9,0.616,0.004,24,9,0.616,0.004,34,9,0.503,0.003,34,9,0.503,0.003,1499,9,0.368,0.0021,1556,9,0.372,0.0021
Caranx melampygus ,ʻōmilu,Maui,4,2,0.667,0.002,NA,NA,NA,NA,22,5,0.407,0.003,22,5,0.407,0.003,58,5,0.365,0.002,58,5,0.365,0.002,3809,5,0.312,0.0018,3877,5,0.313,0.0018
Caranx melampygus ,ʻōmilu,O'ahu,21,7,0.752,0.003,NA,NA,NA,NA,28,8,0.444,0.003,28,8,0.444,0.003,47,8,0.413,0.003,47,8,0.413,0.003,3565,8,0.232,0.0015,3674,8,0.232,0.0014
Caranx melampygus ,ʻōmilu,Kaua'i,6,3,0.733,0.002,NA,NA,NA,NA,38,9,0.421,0.003,36,7,0.354,0.002,68,9,0.368,0.002,67,7,0.324,0.002,3137,7,0.303,0.0018,3213,7,0.306,0.0019
