"","Species","Blast Species","OTU","Population","Sample Size","Number of Haplotypes","hap div var","nuc div var","Tajima's D","R2","Tajima's D p-value","R2 p-value","Tajima's D p-value beta","haplotype diversity","nucleotide diversity"
"1","Pristiapogon kallopterus","Pristiapogon kallopterus","OTU_104","overall","92","28","0.682 ± 0.003","0.0049 ± 0.000013","-2.468","0.02","0.0135841680768357","0","0.00130060621638069","0.682035355948399","0.00494832183795398"
"2","Pristiapogon kallopterus","Pristiapogon kallopterus","OTU_104","Maui","21","10","0.686 ± 0.013","0.006 ± 0.000018","-2.185","0.063","0.02887262307241","0.002","0.00811234313754485","0.685714285714286","0.00602360602360602"
"3","Pristiapogon kallopterus","Pristiapogon kallopterus","OTU_104","Kauai","47","16","0.735 ± 0.003","0.0051 ± 0.000014","-2.179","0.034","0.0292994347282529","0","0.00996229517327253","0.735430157261795","0.00508392830316974"
"4","Pristiapogon kallopterus","Pristiapogon kallopterus","OTU_104","Oahu","18","7","0.686 ± 0.013","0.0044 ± 0.000012","-0.945","0.102","0.344583724321347","0.131","0.376302171199001","0.686274509803921","0.00435729847494553"
"5","Pristiapogon kallopterus","Pristiapogon kallopterus","OTU_104","Hawaii","6","1","0 ± 0","0 ± 0","NaN","NA","NaN","0.131","NaN","0","0"
"6","Kyphosus cinerascens","Kyphosus","OTU_11","overall","372","62","0.796 ± 0","0.0153 ± 0.000074","-1.716","0.029","0.0862096410097264","0.061","0.0548665776747357","0.796481465379822","0.0152900119424772"
"7","Kyphosus cinerascens","Kyphosus","OTU_11","Maui","40","16","0.783 ± 0.004","0.0105 ± 0.000042","-1.479","0.056","0.139207819159207","0.026","0.128283263555387","0.783333333333333","0.0105029585798817"
"8","Kyphosus vaigiensis","Kyphosus","OTU_11","Kauai","130","24","0.793 ± 0.001","0.0155 ± 0.000077","-0.61","0.07","0.541758433806234","0.329","0.580134171084228","0.792725104353011","0.0154936827566524"
"9","Kyphosus vaigiensis","Kyphosus","OTU_11","Oahu","73","14","0.731 ± 0.001","0.0162 ± 0.000084","0.254","0.106","0.799694844353956","0.623","0.775407718745085","0.731354642313546","0.0162321612093302"
"10","Kyphosus cinerascens","Kyphosus","OTU_11","Hawaii","129","32","0.818 ± 0.001","0.0148 ± 0.000071","-1.036","0.057","0.300381569940697","0.188","0.310022301490685","0.818192829457365","0.0147926605048699"
"11","Acanthurus blochii","Acanthurus blochii","OTU_113","overall","174","33","0.872 ± 0","0.0146 ± 0.000069","-1.234","0.047","0.217109919615512","0.141","0.210528090314949","0.872035080725533","0.0145848843277586"
"12","Acanthurus blochii","Acanthurus blochii","OTU_113","Maui","13","6","0.833 ± 0.006","0.0137 ± 0.000072","-0.387","0.136","0.698573203956346","0.36","0.749170728803405","0.833333333333333","0.0136971290817445"
"13","Acanthurus blochii","Acanthurus blochii","OTU_113","Kauai","68","14","0.84 ± 0.001","0.0133 ± 0.00006","-0.008","0.1","0.993603037430588","0.547","0.969713377951132","0.839771729587357","0.013347665893759"
"14","Acanthurus blochii","Acanthurus blochii","OTU_113","Hawaii","58","15","0.886 ± 0","0.0155 ± 0.000078","-0.038","0.101","0.969686943064781","0.554","0.993954365660398","0.88626739261948","0.0154988857348204"
"15","Acanthurus blochii","Acanthurus blochii","OTU_113","Oahu","35","14","0.894 ± 0.001","0.0158 ± 0.000083","-0.341","0.099","0.73309554328411","0.368","0.774084917031706","0.894117647058823","0.0158299217122746"
"16","Myripristis jacobus","Myripristis","OTU_12","overall","181","41","0.686 ± 0.001","0.0048 ± 0.000012","-2.502","0.013","0.0123406245493844","0","0.000724029297888516","0.685942295887048","0.00477614602844808"
"17","Myripristis jacobus","Myripristis","OTU_12","Maui","61","16","0.657 ± 0.004","0.0043 ± 0.00001","-1.959","0.036","0.0501100435115957","0.001","0.0272129627198214","0.657377049180328","0.00425949278408294"
"18","Myripristis jacobus","Myripristis","OTU_12","Oahu","45","16","0.769 ± 0.004","0.0053 ± 0.000015","-1.885","0.042","0.0594355155583363","0.001","0.0371987500108142","0.768686868686869","0.00533540533540533"
"19","Myripristis jacobus","Myripristis","OTU_12","Hawaii","50","15","0.678 ± 0.005","0.0051 ± 0.000013","-2.069","0.039","0.0385709505423715","0.004","0.0172315498270904","0.677551020408163","0.00506541077969649"
"20","Myripristis jacobus","Myripristis","OTU_12","Kauai","25","9","0.64 ± 0.012","0.0045 ± 0.000012","-1.597","0.065","0.110365185658994","0.009","0.096363343893259","0.64","0.0045014245014245"
"21","Cirripectes polyzona","Cirripectes polyzona","OTU_123","overall","165","59","0.824 ± 0.001","0.0065 ± 0.000019","-2.421","0.016","0.0154974466684354","0","0.00156718397656928","0.824020694752402","0.00653438702219209"
"22","Cirripectes polyzona","Cirripectes polyzona","OTU_123","Maui","36","18","0.756 ± 0.006","0.0053 ± 0.000015","-2.3","0.034","0.0214484066833473","0","0.00478651598918128","0.755555555555556","0.00532492199158865"
"23","Cirripectes polyzona","Cirripectes polyzona","OTU_123","Kauai","42","23","0.82 ± 0.004","0.0071 ± 0.000022","-2.179","0.036","0.0293155233379415","0","0.00999678417662771","0.819976771196283","0.00707783634612902"
"24","Cirripectes polyzona","Cirripectes polyzona","OTU_123","Oahu","37","19","0.835 ± 0.004","0.0064 ± 0.000019","-2.072","0.04","0.0382719504324533","0","0.0171685450185379","0.834834834834835","0.00643592310258976"
"25","Cirripectes polyzona","Cirripectes polyzona","OTU_123","Hawaii","50","26","0.881 ± 0.002","0.007 ± 0.000022","-1.858","0.041","0.0631588317632126","0.004","0.0407472384202414","0.880816326530612","0.00703296703296702"
