,Species,Population 1,Population 2,ave_dist,short_dist,PhiST value,Pop 1 size eDNA,Pop 2 size eDNA,p-value,fdr p-value,bonferroni p-value,sig p-value,sig fdr,sig bon,previous long phist,previous long pvalue,previous long fdr pvalue,previous short phist,previous short pvalue,previous short fdr pvalue,Pop 1 size tissue,Pop 2 size tissue
13,Abudefduf abdominalis,Hawaii,Kauai,490,429,1.05193631583224e-13,45,25,0.440559441,0.832167832,1,no,no,no,-0.040093387,0.999000999,0.999000999,-0.040093387,0.916083916,0.916083916,11,26
14,Abudefduf abdominalis,Hawaii,Maui,151,46,-0.020131117,45,13,0.809190809,0.832167832,1,no,no,no,-0.017539479,0.648351648,0.999000999,0.011314314,0.588411588,0.81038961,11,19
15,Abudefduf abdominalis,Hawaii,Oahu,329,250,0.004358359,45,35,0.130869131,0.785214785,0.785214785,no,no,no,-0.001726052,0.308691309,0.962037962,0.090630741,0.297702298,0.81038961,11,27
16,Abudefduf abdominalis,Maui,Kauai,353,297,-0.014908834,13,25,0.832167832,0.832167832,1,no,no,no,-0.01585679,0.875124875,0.999000999,-0.002645124,0.675324675,0.81038961,19,26
17,Abudefduf abdominalis,Maui,Oahu,183,107,-0.015489458,13,35,0.701298701,0.832167832,1,no,no,no,-0.013585156,0.693306693,0.999000999,0.019120459,0.433566434,0.81038961,19,27
18,Abudefduf abdominalis,Oahu,Kauai,180,116,0.003160236,35,25,0.300699301,0.832167832,1,no,no,no,0.009878939,0.320679321,0.962037962,0.00147929,0.041958042,0.251748252,27,26
7,Abudefduf vaigiensis,Hawaii,Kauai,490,429,0.024909108,37,52,0.043956044,0.263736264,0.263736264,yes,no,no,-0.012835591,0.529470529,0.653346653,-0.00232348,0.363636364,0.848751249,19,20
8,Abudefduf vaigiensis,Hawaii,Maui,151,46,-0.009595539,37,21,0.647352647,0.647352647,1,no,no,no,-0.000124451,0.420579421,0.653346653,0.02185879,0.25974026,0.848751249,19,17
9,Abudefduf vaigiensis,Hawaii,Oahu,329,250,0.011256968,37,46,0.188811189,0.496303696,1,no,no,no,-0.011644219,0.544455544,0.653346653,-0.02564541,0.705294705,0.848751249,19,16
10,Abudefduf vaigiensis,Maui,Kauai,353,297,-0.001212419,21,52,0.387612388,0.496303696,1,no,no,no,0.008719226,0.310689311,0.653346653,-0.024426835,0.614385614,0.848751249,17,20
11,Abudefduf vaigiensis,Maui,Oahu,183,107,-0.002829185,21,46,0.413586414,0.496303696,1,no,no,no,-0.046326087,0.985014985,0.985014985,-0.031608155,0.707292707,0.848751249,17,16
12,Abudefduf vaigiensis,Oahu,Kauai,180,116,0.003785524,46,52,0.284715285,0.496303696,1,no,no,no,-0.002758468,0.458541459,0.653346653,-0.050164619,0.929070929,0.929070929,16,20
19,Acanthurus nigrofuscus,Hawaii,Kauai,490,429,-0.002637618,173,86,0.601398601,0.905094905,1,no,no,no,-0.004890646,0.465534466,0.861638362,-0.018428934,0.738261738,0.975024975,33,26
