Samples,Location,Side,Island,Region,Year
Blank_East_2021_PE,East Oahu Blank,Blank,Blank,Blank,2021
Blank_North_2021_PE,North Oahu Blank,Blank,Blank,Blank,2021
Hilo_Blank_2021_PE,Hilo Blank,Blank,Blank,Blank,2021
HiloBlank_PE,Hilo Blank,Blank,Blank,Blank,2022
KiheiBlank_PE,Maui Blank,Blank,Blank,Blank,2023
KonaBlank_PE,Kona Blank,Blank,Blank,Blank,2022
OahuBlank_PE,Oahu Blank,Blank,Blank,Blank,2022
PoipuBlank_PE,South Kauai Blank,Blank,Blank,Blank,2023
PrincevilleBlank_PE,North Kauai Blank,Blank,Blank,Blank,2023
Changs_1_PE.1,Kona Blank,Blank,Blank,Blank,2021
Laupahoehoe_1_2021_PE.1,West Oahu Blank,Blank,Blank,Blank,2021
Harbor_1_2021_PE,‘Alula Beach,Kona,Hawaii,Kona,2021
Harbor_1_PE,‘Alula Beach,Kona,Hawaii,Kona,2022
Harbor_2_2021_PE,‘Alula Beach,Kona,Hawaii,Kona,2021
Harbor_2_PE,‘Alula Beach,Kona,Hawaii,Kona,2022
Harbor_3_2021_PE,‘Alula Beach,Kona,Hawaii,Kona,2021
Harbor_3_PE,‘Alula Beach,Kona,Hawaii,Kona,2022
Harbor_4_2021_PE,‘Alula Beach,Kona,Hawaii,Kona,2021
Harbor_4_PE,‘Alula Beach,Kona,Hawaii,Kona,2022
Kahaluu_1_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2021
Kahaluu_2_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2021
Kahaluu_3_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2021
Kahaluu_4_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2021
Kahaluu_5_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2022
Kahaluu_6_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2022
Kahaluu_7_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2022
Kahaluu_8_PE,Kahalu'u Beach Park,Kona,Hawaii,Kona,2022
Kealoha_1_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2021
Kealoha_2_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2021
Kealoha_3_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2021
Kealoha_4_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2021
Kealoha_5_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2022
Kealoha_6_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2022
Kealoha_7_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2022
Kealoha_8_PE,Kealoha Beach Park,Hilo,Hawaii,Hilo,2022
Keaukaha_1_2021_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2021
Keaukaha_1_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2022
Keaukaha_2_2021_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2021
Keaukaha_2_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2022
Keaukaha_3_2021_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2021
Keaukaha_3_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2022
Keaukaha_4_2021_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2021
Keaukaha_4_PE,Keaukaha Beach Park,Hilo,Hawaii,Hilo,2022
Laupahoehoe_1_2021_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2021
Laupahoehoe_1_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2022
Laupahoehoe_2_2021_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2021
Laupahoehoe_2_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2022
Laupahoehoe_3_2021_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2021
Laupahoehoe_3_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2022
Laupahoehoe_4_2021_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2021
Laupahoehoe_4_PE,Laupāhoehoe Beach,Hilo,Hawaii,Hilo,2022
MaunaKea_1_2021_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2021
MaunaKea_1_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2022
MaunaKea_2_2021_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2021
MaunaKea_2_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2022
MaunaKea_3_2021_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2021
MaunaKea_3_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2022
MaunaKea_4_2021_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2021
MaunaKea_4_PE,Kauna’oa Beach,Kona,Hawaii,Kona,2022
Richardsons_1_2021_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2021
Richardsons_1_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2022
Richardsons_2_2021_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2021
Richardsons_2_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2022
Richardsons_3_2021_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2021
Richardsons_3_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2022
Richardsons_4_2021_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2021
Richardsons_4_PE,Richardson Ocean Park,Hilo,Hawaii,Hilo,2022
TwoStep_1_2021_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2021
TwoStep_1_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2022
TwoStep_2_2021_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2021
TwoStep_2_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2022
TwoStep_3_2021_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2021
TwoStep_3_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2022
TwoStep_4_2021_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2021
TwoStep_4_PE,Hōnaunau Bay,Kona,Hawaii,Kona,2022
Anini_1_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_2_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_3_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_4_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_5_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_6_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_7_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
Anini_8_PE,Anini Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_1_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_2_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_3_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_4_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_5_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_6_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_7_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
HaenaInner_8_PE,Ha'ena Beach Park,North Kauai,Kauai,Kauai,2023
KoloaLanding_1_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_2_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_3_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_4_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_5_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_6_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_7_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
KoloaLanding_8_PE,Hanaka'ape Bay,South Kauai,Kauai,Kauai,2023
Lawai_1_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_2_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_3_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_4_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_5_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_6_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
Lawai_7_PE,Lawa'i Beach,South Kauai,Kauai,Kauai,2023
